months,style,sku,size,pcs,rate,gross_amt
2021-06-01,J0104,J0104-KR-XL,XL,1.00,584.35,584.00
2021-06-01,J0104,J0104-KR-XXL,XXL,1.00,584.35,584.00
2021-06-01,J0104,J0104-KR-XXXL,XXXL,1.00,584.35,584.00
2021-06-01,JNE3256,JNE3256-KR-L,L,1.00,486.85,487.00
2021-06-01,JNE3256,JNE3256-KR-XL,XL,1.00,486.85,487.00
2021-06-01,JNE3464,JNE3464-KR-XXL,XXL,1.00,519.35,519.00
2021-06-01,JNE3464,JNE3464-KR-XXXL,XXXL,1.00,519.35,519.00
2021-06-01,J0033,J0033-KR-L,L,1.00,616.85,617.00
2021-06-01,J0033,J0033-KR-XXL,XXL,1.00,616.85,617.00
2021-06-01,JNE2049,JNE2049-KR-351-XXL,XXL,1.00,486.85,487.00
2021-06-01,JNE2049,JNE2049-KR-351-XXXL,XXXL,1.00,486.85,487.00
2021-06-01,JNE3637,JNE3637-KR-L,L,1.00,649.35,649.00
2021-06-01,JNE3523,JNE3523-KR-M,M,1.00,519.35,519.00
2021-06-01,JNE3523,JNE3523-KR-L,L,1.00,519.35,519.00
2021-06-01,JNE3688,JNE3688-TU-M,M,1.00,486.85,487.00
2021-06-01,JNE3688,JNE3688-TU-L,L,1.00,486.85,487.00
2021-06-01,JNE3669,JNE3669-TU-L,L,1.00,486.85,487.00
2021-06-01,JNE3669,JNE3669-TU-XL,XL,1.00,486.85,487.00
2021-06-01,JNE3679,JNE3679-TU-M,M,1.00,486.85,487.00
2021-06-01,JNE3679,JNE3679-TU-L,L,1.00,486.85,487.00
2021-06-01,JNE3679,JNE3679-TU-XL,XL,1.00,486.85,487.00
2021-06-01,JNE3674,JNE3674-TU-L,L,1.00,486.85,487.00
2021-06-01,JNE3674,JNE3674-TU-XXL,XXL,1.00,486.85,487.00
2021-06-01,JNE3672,JNE3672-TU-XL,XL,1.00,486.85,487.00
2021-06-01,JNE3672,JNE3672-TU-XXL,XXL,1.00,486.85,487.00
2021-06-01,JNE3673,JNE3673-TU-XL,XL,1.00,519.35,519.00
2021-06-01,JNE3673,JNE3673-TU-XXL,XXL,1.00,519.35,519.00
2021-06-01,JNE3651,JNE3651-TP-L,L,1.00,454.35,454.00
2021-06-01,JNE3651,JNE3651-TP-XL,XL,1.00,454.35,454.00
2021-06-01,J0180,J0180-DR-L,L,1.00,714.35,714.00
2021-06-01,J0180,J0180-DR-XXL,XXL,1.00,714.35,714.00
2021-06-01,JNE3709,JNE3709-DR-XL,XL,1.00,941.85,942.00
2021-06-01,JNE3709,JNE3709-DR-XXL,XXL,1.00,941.85,942.00
2021-06-01,J0243,J0243-DR-M,M,1.00,1039.35,1039.00
2021-06-01,J0243,J0243-DR-L,L,1.00,1039.35,1039.00
2021-06-01,J0093,J0093-DR-M,M,1.00,779.35,779.00
2021-06-01,J0093,J0093-DR-L,L,1.00,779.35,779.00
2021-06-01,J0093,J0093-DR-XXL,XXL,1.00,779.35,779.00
2021-06-01,J0093,J0093-DR-XXXL,XXXL,1.00,779.35,779.00
2021-06-01,SET038,SET038-KR-PP-XXL,XXL,1.00,746.85,747.00
2021-06-01,SET038,SET038-KR-PP-XXXL,XXXL,1.00,746.85,747.00
2021-06-01,SET187,SET187-KR-DH-M,M,1.00,746.85,747.00
2021-06-01,J0023,J0023-TP-M,M,6.00,486.85,2717.00
2021-06-01,J0023,J0023-TP-L,L,6.00,486.85,2717.00
2021-06-01,J0023,J0023-TP-XL,XL,6.00,486.85,2717.00
2021-06-01,JNE3672,JNE3672-TU-M,M,6.00,486.85,2717.00
2021-06-01,JNE3672,JNE3672-TU-L,L,6.00,486.85,2717.00
2021-06-01,JNE3672,JNE3672-TU-XL,XL,6.00,486.85,2717.00
2021-06-01,JNE3674,JNE3674-TU-M,M,6.00,486.85,2717.00
2021-06-01,JNE3674,JNE3674-TU-L,L,6.00,486.85,2717.00
2021-06-01,JNE3674,JNE3674-TU-XL,XL,6.00,486.85,2717.00
2021-06-01,JNE3673,JNE3673-TU-M,M,6.00,519.35,2898.00
2021-06-01,JNE3673,JNE3673-TU-L,L,6.00,519.35,2898.00
2021-06-01,JNE3673,JNE3673-TU-XL,XL,6.00,519.35,2898.00
2021-06-01,JNE3676,JNE3676-TU-M,M,6.00,454.35,2535.00
2021-06-01,JNE3676,JNE3676-TU-L,L,6.00,454.35,2535.00
2021-06-01,JNE3676,JNE3676-TU-XL,XL,6.00,454.35,2535.00
2021-06-01,JNE3686,JNE3686-TU-M,M,6.00,486.85,2717.00
